order_id,customer_id,order_date,status
1,198,2025-03-24 23:54:00,delivered
2,331,2025-08-14 16:23:00,placed
3,152,2025-10-03 03:32:00,delivered
4,497,2025-05-30 09:48:00,delivered
5,447,2025-03-08 20:30:00,delivered
6,28,2025-05-11 11:15:00,delivered
7,406,2025-01-08 01:18:00,cancelled
8,281,2025-10-28 19:33:00,delivered
9,324,2025-06-24 07:45:00,shipped
10,192,2025-03-09 00:22:00,delivered
11,357,2025-06-11 05:51:00,shipped
12,147,2025-04-25 01:55:00,delivered
13,411,2024-11-21 13:05:00,delivered
14,86,2025-08-20 11:28:00,placed
15,74,2025-10-04 21:50:00,delivered
16,486,2025-05-01 14:48:00,shipped
17,256,2025-06-25 17:07:00,delivered
18,45,2025-09-24 10:42:00,delivered
19,63,2025-11-09 04:15:00,delivered
20,159,2025-05-12 22:46:00,delivered
21,394,2025-11-04 13:32:00,cancelled
22,79,2025-04-02 05:20:00,cancelled
23,326,2025-11-01 08:08:00,delivered
24,255,2025-10-15 17:18:00,delivered
25,105,2025-04-18 04:20:00,delivered
26,231,2025-03-06 03:03:00,delivered
27,484,2025-05-10 14:15:00,delivered
28,24,2025-05-13 18:35:00,shipped
29,257,2024-10-09 01:08:00,delivered
30,363,2025-07-11 15:52:00,placed
31,496,2025-08-09 18:36:00,delivered
32,17,2025-07-14 22:07:00,shipped
33,340,2025-06-11 12:20:00,cancelled
34,286,2025-03-31 09:49:00,delivered
35,459,2025-11-08 11:49:00,delivered
36,478,2025-07-10 08:08:00,shipped
37,209,2025-08-09 15:30:00,delivered
38,404,2025-06-17 23:55:00,cancelled
39,309,2024-12-11 10:18:00,delivered
40,405,2025-03-29 21:48:00,shipped
41,134,2025-05-06 14:48:00,delivered
42,208,2025-08-19 22:49:00,delivered
43,79,2025-06-03 19:23:00,delivered
44,85,2025-04-13 16:28:00,shipped
45,234,2025-07-11 17:29:00,delivered
46,278,2025-11-11 02:59:00,delivered
47,335,2025-10-07 03:11:00,cancelled
48,127,2025-06-05 04:17:00,shipped
49,35,2024-12-06 01:28:00,delivered
50,387,2025-10-08 01:08:00,delivered
51,32,2025-07-09 18:56:00,delivered
52,357,2025-05-19 04:19:00,delivered
53,473,2025-06-01 11:05:00,delivered
54,246,2025-02-14 10:19:00,cancelled
55,61,2025-09-06 15:58:00,delivered
56,190,2025-04-06 01:36:00,delivered
57,256,2025-07-07 21:21:00,delivered
58,484,2025-09-26 01:48:00,placed
59,112,2025-06-21 11:03:00,delivered
60,269,2025-01-09 06:39:00,delivered
61,335,2025-11-10 20:48:00,placed
62,440,2025-11-06 16:58:00,placed
63,351,2025-10-25 17:36:00,delivered
64,84,2025-07-11 18:53:00,delivered
65,402,2025-11-11 15:14:00,delivered
66,163,2025-04-27 02:00:00,cancelled
67,14,2024-11-27 17:05:00,delivered
68,138,2025-04-01 15:09:00,shipped
69,4,2025-10-31 10:53:00,delivered
70,150,2025-09-02 20:31:00,cancelled
71,478,2025-07-11 18:34:00,shipped
72,405,2025-05-03 14:38:00,delivered
73,289,2025-11-08 21:41:00,delivered
74,177,2025-11-12 15:06:00,delivered
75,267,2025-06-13 15:06:00,delivered
76,170,2025-07-10 14:14:00,delivered
77,200,2024-08-03 06:13:00,delivered
78,235,2024-12-16 21:55:00,delivered
79,345,2024-12-30 03:15:00,delivered
80,96,2025-06-14 17:44:00,cancelled
81,162,2025-10-02 19:03:00,delivered
82,210,2025-08-18 13:45:00,delivered
83,282,2025-06-23 18:07:00,delivered
84,444,2025-11-11 07:13:00,delivered
85,149,2025-07-14 16:57:00,delivered
86,128,2025-01-08 10:53:00,delivered
87,168,2025-07-17 23:05:00,delivered
88,290,2025-10-05 10:57:00,delivered
89,226,2025-06-03 13:12:00,cancelled
90,336,2025-04-27 02:23:00,delivered
91,245,2024-11-17 18:14:00,delivered
92,452,2025-03-31 12:49:00,delivered
93,322,2025-09-06 13:39:00,delivered
94,406,2025-01-03 08:41:00,shipped
95,124,2025-06-19 19:04:00,delivered
96,280,2025-08-18 15:49:00,shipped
97,262,2025-10-23 04:34:00,delivered
98,159,2025-08-13 21:47:00,shipped
99,488,2025-04-21 16:50:00,delivered
100,365,2025-11-06 20:04:00,delivered
101,187,2025-05-06 04:11:00,cancelled
102,165,2025-03-07 23:20:00,delivered
103,489,2025-05-13 14:55:00,delivered
104,189,2025-07-20 15:49:00,delivered
105,272,2025-11-08 13:31:00,cancelled
106,212,2025-08-23 11:29:00,cancelled
107,69,2025-08-04 12:04:00,delivered
108,359,2025-09-30 10:20:00,delivered
109,161,2025-05-15 17:22:00,cancelled
110,81,2025-09-23 09:52:00,delivered
111,285,2025-09-06 07:06:00,delivered
112,299,2025-07-18 02:01:00,cancelled
113,63,2024-10-12 14:03:00,shipped
114,332,2025-03-29 13:56:00,delivered
115,323,2025-11-11 17:50:00,placed
116,306,2025-02-19 08:03:00,delivered
